
2025/03/05 16:02:11.547505:'MEWUSDT':-1, 'TONUSDT':1, 'ETCUSDT':-1, 'THETAUSDT':1, 'AAVEUSDT':-1, 'LTCUSDT':1, 'MANAUSDT':-1, 'MEMEUSDT':1
2025/03/06 02:14:23.921048:'MEWUSDT':-1, 'TONUSDT':1, 'ETCUSDT':-1, 'THETAUSDT':1, 'LTCUSDT':1, 'MANAUSDT':-1, 'MEMEUSDT':1
2025/03/06 02:14:23.921048:'MEWUSDT':-1, 'TONUSDT':1, 'ETCUSDT':-1, 'THETAUSDT':1, 'LTCUSDT':1, 'MANAUSDT':-1, 'MEMEUSDT':1, 'LINKUSDT':-1
2025/03/06 15:49:25.980228:'FLOWUSDT':1, 'RENDERUSDT':-1
2025/03/06 15:51:29.415967:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1
2025/03/06 15:53:33.630423:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1
2025/03/06 15:55:26.193770:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1
2025/03/06 15:57:30.045536:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1
2025/03/06 15:59:32.921270:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1
2025/03/06 16:01:25.742365:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1
2025/03/06 16:03:28.434815:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1
2025/03/06 16:00:00.000000:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1
2025/03/06 16:07:30.428437:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1
2025/03/06 16:09:34.111947:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1
2025/03/06 16:11:27.030790:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'FILUSDT':1, 'ZKUSDT':-1
2025/03/06 16:13:34.218858:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'FILUSDT':1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1
2025/03/06 16:15:26.988367:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'FILUSDT':1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BLURUSDT':1, 'BATUSDT':-1
2025/03/06 16:17:30.955554:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'FILUSDT':1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BLURUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1
2025/03/06 16:19:34.005983:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'FILUSDT':1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BLURUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'ETHUSDT':-1
2025/03/06 22:37:34.927438:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'CHZUSDT':-1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BLURUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'ETHUSDT':-1, 'OPUSDT':1
2025/03/06 23:07:27.398449:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ATOMUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BLURUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'ETHUSDT':-1, 'OPUSDT':1, 'PYTHUSDT':-1
2025/03/07 00:13:35.268844:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BLURUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'ETHUSDT':-1, 'OPUSDT':1, 'PYTHUSDT':-1, 'ARBUSDT':-1
2025/03/07 00:27:34.087059:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'INJUSDT':1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'ETHUSDT':-1, 'OPUSDT':1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1
2025/03/07 01:59:36.285784:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'ETHUSDT':-1, 'OPUSDT':1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'SEIUSDT':1
2025/03/07 02:01:42.363346:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'ETHUSDT':-1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'SEIUSDT':1, 'GRTUSDT':1
2025/03/07 02:51:37.531245:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'DOTUSDT':1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'SEIUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1
2025/03/07 03:03:38.899452:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'MEMEUSDT':1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'SEIUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1
2025/03/07 04:01:42.630656:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'KSMUSDT':-1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'SEIUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1
2025/03/07 06:07:44.128023:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'CELOUSDT':1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'SEIUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1
