date,MINAUSDT_open,MINAUSDT_high,MINAUSDT_low,MINAUSDT_close,MINAUSDT_volume,BCHUSDT_open,BCHUSDT_high,BCHUSDT_low,BCHUSDT_close,BCHUSDT_volume,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close,ETHUSDT_volume,ENSUSDT_open,ENSUSDT_high,ENSUSDT_low,ENSUSDT_close,ENSUSDT_volume,SEIUSDT_open,SEIUSDT_high,SEIUSDT_low,SEIUSDT_close,SEIUSDT_volume,FLOWUSDT_open,FLOWUSDT_high,FLOWUSDT_low,FLOWUSDT_close,FLOWUSDT_volume,MEMEUSDT_open,MEMEUSDT_high,MEMEUSDT_low,MEMEUSDT_close,MEMEUSDT_volume,APTUSDT_open,APTUSDT_high,APTUSDT_low,APTUSDT_close,APTUSDT_volume,PYTHUSDT_open,PYTHUSDT_high,PYTHUSDT_low,PYTHUSDT_close,PYTHUSDT_volume,EOSUSDT_open,EOSUSDT_high,EOSUSDT_low,EOSUSDT_close,EOSUSDT_volume,MEWUSDT_open,MEWUSDT_high,MEWUSDT_low,MEWUSDT_close,MEWUSDT_volume,LPTUSDT_open,LPTUSDT_high,LPTUSDT_low,LPTUSDT_close,LPTUSDT_volume,NEARUSDT_open,NEARUSDT_high,NEARUSDT_low,NEARUSDT_close,NEARUSDT_volume,GRTUSDT_open,GRTUSDT_high,GRTUSDT_low,GRTUSDT_close,GRTUSDT_volume,UNIUSDT_open,UNIUSDT_high,UNIUSDT_low,UNIUSDT_close,UNIUSDT_volume,ATOMUSDT_open,ATOMUSDT_high,ATOMUSDT_low,ATOMUSDT_close,ATOMUSDT_volume,WUSDT_open,WUSDT_high,WUSDT_low,WUSDT_close,WUSDT_volume,ETCUSDT_open,ETCUSDT_high,ETCUSDT_low,ETCUSDT_close,ETCUSDT_volume,LINKUSDT_open,LINKUSDT_high,LINKUSDT_low,LINKUSDT_close,LINKUSDT_volume,SANDUSDT_open,SANDUSDT_high,SANDUSDT_low,SANDUSDT_close,SANDUSDT_volume,APEUSDT_open,APEUSDT_high,APEUSDT_low,APEUSDT_close,APEUSDT_volume,INJUSDT_open,INJUSDT_high,INJUSDT_low,INJUSDT_close,INJUSDT_volume,BATUSDT_open,BATUSDT_high,BATUSDT_low,BATUSDT_close,BATUSDT_volume,OPUSDT_open,OPUSDT_high,OPUSDT_low,OPUSDT_close,OPUSDT_volume,CHZUSDT_open,CHZUSDT_high,CHZUSDT_low,CHZUSDT_close,CHZUSDT_volume,ZROUSDT_open,ZROUSDT_high,ZROUSDT_low,ZROUSDT_close,ZROUSDT_volume,ARBUSDT_open,ARBUSDT_high,ARBUSDT_low,ARBUSDT_close,ARBUSDT_volume,ICPUSDT_open,ICPUSDT_high,ICPUSDT_low,ICPUSDT_close,ICPUSDT_volume,ZILUSDT_open,ZILUSDT_high,ZILUSDT_low,ZILUSDT_close,ZILUSDT_volume,RENDERUSDT_open,RENDERUSDT_high,RENDERUSDT_low,RENDERUSDT_close,RENDERUSDT_volume,MANTAUSDT_open,MANTAUSDT_high,MANTAUSDT_low,MANTAUSDT_close,MANTAUSDT_volume,ONTUSDT_open,ONTUSDT_high,ONTUSDT_low,ONTUSDT_close,ONTUSDT_volume,THETAUSDT_open,THETAUSDT_high,THETAUSDT_low,THETAUSDT_close,THETAUSDT_volume,COMPUSDT_open,COMPUSDT_high,COMPUSDT_low,COMPUSDT_close,COMPUSDT_volume,YFIUSDT_open,YFIUSDT_high,YFIUSDT_low,YFIUSDT_close,YFIUSDT_volume,POLUSDT_open,POLUSDT_high,POLUSDT_low,POLUSDT_close,POLUSDT_volume,ZKUSDT_open,ZKUSDT_high,ZKUSDT_low,ZKUSDT_close,ZKUSDT_volume,FETUSDT_open,FETUSDT_high,FETUSDT_low,FETUSDT_close,FETUSDT_volume,DOTUSDT_open,DOTUSDT_high,DOTUSDT_low,DOTUSDT_close,DOTUSDT_volume,GASUSDT_open,GASUSDT_high,GASUSDT_low,GASUSDT_close,GASUSDT_volume,NEOUSDT_open,NEOUSDT_high,NEOUSDT_low,NEOUSDT_close,NEOUSDT_volume,KSMUSDT_open,KSMUSDT_high,KSMUSDT_low,KSMUSDT_close,KSMUSDT_volume,AAVEUSDT_open,AAVEUSDT_high,AAVEUSDT_low,AAVEUSDT_close,AAVEUSDT_volume,CELOUSDT_open,CELOUSDT_high,CELOUSDT_low,CELOUSDT_close,CELOUSDT_volume,FILUSDT_open,FILUSDT_high,FILUSDT_low,FILUSDT_close,FILUSDT_volume,BLURUSDT_open,BLURUSDT_high,BLURUSDT_low,BLURUSDT_close,BLURUSDT_volume
2025-03-05 23:03:00+00:00,0.3001,0.3001,0.2994,0.2996,32228.0,395.6,395.92,393.65,394.44,4644.167,2237.09,2237.17,2232.04,2232.36,3449.641,21.167,21.179,21.11,21.118,2489.0,0.2345,0.2345,0.2339,0.2341,431018.0,0.458,0.458,0.456,0.456,17556.8,0.003131,0.003131,0.003119,0.003119,11087126.0,6.235,6.2412,6.2174,6.2395,48085.1,0.18647,0.18649,0.18601,0.18601,67518.0,0.558,0.559,0.557,0.557,102651.4,0.002181,0.002181,0.002169,0.002169,3401997.0,6.317,6.32,6.305,6.305,1567.6,3.012,3.014,3.005,3.005,56962.0,0.11056,0.11057,0.1103,0.11031,223507.0,7.492,7.496,7.479,7.479,12535.0,4.343,4.344,4.33,4.33,14382.48,0.11142,0.11143,0.11119,0.11123,82185.1,20.674,20.684,20.644,20.663,6410.94,16.398,16.401,16.337,16.339,23042.94,0.31418,0.31426,0.31301,0.31305,177112.0,0.5768,0.5768,0.5746,0.5747,133549.0,12.103,12.114,12.086,12.095,5276.3,0.163,0.163,0.1626,0.1626,100954.2,0.9972,0.9973,0.9938,0.994,112249.9,0.04887,0.04888,0.04877,0.04877,344214.0,2.2637,2.2638,2.2562,2.2562,5878.5,0.4194,0.4195,0.4184,0.4185,435380.9,6.35,6.363,6.342,6.342,22471.0,0.0131,0.01311,0.01308,0.01309,284583.0,3.754,3.756,3.74,3.74,12454.2,0.3149,0.3149,0.3142,0.3143,18366.8,0.161,0.1611,0.1608,0.1608,25210.0,1.0926,1.0935,1.0902,1.0902,17755.1,51.49,51.49,51.39,51.42,96.948,5524.0,5524.0,5509.0,5510.0,3.539,0.25672,0.25674,0.25618,0.25621,83918.0,0.08687,0.08687,0.08664,0.08672,183410.0,0.6155,0.6158,0.6147,0.6151,98731.0,4.527,4.527,4.518,4.518,30036.4,3.241,3.241,3.235,3.235,1086.5,9.192,9.194,9.174,9.174,1894.01,18.568,18.569,18.537,18.537,139.0,219.15,219.15,218.25,218.59,3990.5,0.382,0.383,0.381,0.381,68708.4,3.14,3.141,3.133,3.134,33796.1,0.12082,0.12083,0.12051,0.12053,81571.0
2025-03-05 23:06:00+00:00,0.2995,0.2996,0.2989,0.2989,17314.0,394.47,395.36,393.69,393.77,3265.609,2232.36,2234.13,2231.2,2233.11,5765.43,21.121,21.129,21.109,21.116,1319.2,0.2341,0.2343,0.2333,0.2333,476238.0,0.457,0.457,0.456,0.457,2668.4,0.003119,0.003121,0.003114,0.003115,20298728.0,6.2395,6.2415,6.2105,6.2154,35736.0,0.18603,0.1861,0.18572,0.18583,88266.0,0.557,0.558,0.556,0.556,220133.1,0.00217,0.00217,0.002166,0.002166,7729947.0,6.306,6.306,6.296,6.298,1390.2,3.006,3.006,3.0,3.002,40298.0,0.11032,0.11032,0.1101,0.11012,321544.0,7.48,7.482,7.471,7.481,13624.0,4.331,4.333,4.326,4.326,8288.87,0.11124,0.11128,0.11108,0.11108,177663.0,20.664,20.675,20.659,20.675,4960.92,16.338,16.349,16.308,16.312,31552.51,0.31305,0.31306,0.31241,0.31242,265457.0,0.5747,0.5747,0.5735,0.5738,219960.0,12.094,12.116,12.09,12.099,7794.9,0.1626,0.1627,0.1625,0.1625,41161.3,0.994,0.994,0.991,0.9912,128661.3,0.04877,0.04882,0.04875,0.04878,868896.0,2.2562,2.2588,2.2528,2.2568,14468.5,0.4185,0.4186,0.4176,0.4179,486953.3,6.342,6.343,6.318,6.319,14514.0,0.01308,0.01308,0.01308,0.01308,115356.0,3.74,3.742,3.735,3.736,8133.5,0.3142,0.3144,0.314,0.3141,22434.7,0.1608,0.1608,0.1605,0.1605,40087.1,1.0902,1.0904,1.089,1.089,13484.7,51.43,51.5,51.37,51.38,300.638,5510.0,5511.0,5507.0,5510.0,1.226,0.25621,0.25635,0.25603,0.25606,131680.0,0.08672,0.08673,0.08659,0.0866,224749.0,0.6151,0.6151,0.6136,0.6137,61856.0,4.519,4.519,4.508,4.508,49785.4,3.236,3.236,3.233,3.233,710.6,9.173,9.176,9.163,9.163,1744.81,18.535,18.535,18.499,18.499,283.6,218.6,218.75,218.39,218.5,1718.5,0.381,0.382,0.381,0.381,12128.6,3.133,3.136,3.13,3.133,37664.7,0.12055,0.12064,0.12048,0.12048,207026.0
2025-03-05 23:09:00+00:00,0.2989,0.2995,0.2989,0.2993,17990.0,393.78,394.49,393.46,394.26,2498.079,2233.11,2235.99,2232.79,2234.52,3821.575,21.117,21.151,21.117,21.143,1514.1,0.2333,0.2341,0.2333,0.2341,254296.0,0.456,0.458,0.456,0.457,55365.6,0.003116,0.003125,0.003116,0.003123,9203775.0,6.2154,6.2248,6.207,6.2091,56590.7,0.18583,0.18631,0.18583,0.1861,106968.0,0.556,0.557,0.556,0.556,25498.1,0.002166,0.002169,0.002166,0.002168,2584881.0,6.298,6.306,6.295,6.302,872.3,3.001,3.003,2.996,3.0,79643.0,0.11013,0.11015,0.10996,0.11005,399341.0,7.481,7.495,7.48,7.491,13489.0,4.325,4.333,4.324,4.331,7863.61,0.11108,0.11122,0.11095,0.11099,135505.8,20.675,20.7,20.654,20.666,6053.48,16.312,16.415,16.312,16.408,35430.79,0.31242,0.31288,0.31227,0.31237,240758.0,0.5737,0.5753,0.5736,0.5743,109396.0,12.1,12.118,12.098,12.102,3240.6,0.1625,0.1625,0.1622,0.1623,82028.1,0.9911,0.992,0.9903,0.9909,79340.6,0.04878,0.04886,0.04878,0.04881,406673.0,2.2568,2.2623,2.2567,2.2578,6386.0,0.4179,0.4183,0.4178,0.4181,237893.7,6.319,6.328,6.319,6.326,7433.0,0.01308,0.01308,0.01306,0.01307,855574.0,3.737,3.742,3.731,3.734,21249.4,0.3141,0.3147,0.314,0.3141,44851.0,0.1604,0.1607,0.1604,0.1606,42291.3,1.0889,1.0905,1.0886,1.0895,11914.7,51.39,51.48,51.39,51.47,178.908,5510.0,5515.0,5510.0,5510.0,1.091,0.25605,0.25627,0.25593,0.25609,70298.0,0.08659,0.08682,0.08658,0.08662,111492.0,0.6137,0.6152,0.6136,0.6142,61978.0,4.509,4.515,4.509,4.511,21520.5,3.232,3.238,3.232,3.234,1229.4,9.163,9.184,9.163,9.181,2805.99,18.499,18.507,18.478,18.485,437.2,218.49,219.64,218.43,219.49,3467.6,0.382,0.382,0.38,0.381,145463.8,3.132,3.139,3.131,3.138,23105.4,0.12049,0.12064,0.12046,0.12058,97829.0
2025-03-05 23:12:00+00:00,0.2993,0.2993,0.2987,0.2987,7986.0,394.25,394.49,393.0,393.67,2098.291,2234.53,2234.53,2231.0,2231.63,1818.625,21.142,21.142,21.089,21.108,1776.5,0.2342,0.2342,0.2333,0.2333,140576.0,0.457,0.457,0.455,0.456,53779.9,0.003122,0.003122,0.003113,0.003113,8927073.0,6.2091,6.2306,6.2091,6.2249,30106.6,0.18609,0.18609,0.18552,0.18561,69778.0,0.556,0.557,0.555,0.556,56744.8,0.002168,0.002168,0.002165,0.002166,1739685.0,6.302,6.302,6.29,6.29,523.2,3.0,3.002,2.985,2.987,128414.0,0.11004,0.11009,0.10983,0.10988,160193.0,7.49,7.492,7.482,7.486,4095.0,4.331,4.332,4.325,4.326,4541.0,0.11099,0.11099,0.11073,0.11075,90821.0,20.663,20.663,20.606,20.627,6387.6,16.408,16.424,16.369,16.383,49231.77,0.31238,0.31238,0.31178,0.31186,403039.0,0.5742,0.5744,0.573,0.5732,51514.0,12.103,12.125,12.092,12.117,9383.1,0.1623,0.1623,0.1619,0.1619,71765.3,0.9909,0.9917,0.9894,0.9895,70328.9,0.04881,0.04881,0.04876,0.04876,702309.0,2.2578,2.258,2.2536,2.2538,2451.9,0.4181,0.4181,0.417,0.4172,283129.3,6.327,6.328,6.306,6.308,5918.0,0.01307,0.01307,0.01305,0.01305,293056.0,3.734,3.737,3.732,3.734,5589.8,0.314,0.314,0.3132,0.3132,38508.1,0.1605,0.1605,0.1603,0.1603,33794.9,1.0897,1.0898,1.0877,1.0878,9060.1,51.47,51.47,51.29,51.31,375.406,5513.0,5519.0,5508.0,5509.0,1.105,0.25609,0.2561,0.2556,0.25565,53958.0,0.08661,0.08661,0.08645,0.08647,170246.0,0.6141,0.6141,0.6124,0.6126,200212.0,4.512,4.512,4.502,4.506,26932.7,3.234,3.234,3.229,3.23,1176.6,9.181,9.181,9.155,9.157,1710.97,18.488,18.488,18.446,18.45,199.6,219.49,219.59,219.17,219.19,2141.2,0.381,0.382,0.38,0.381,71541.5,3.138,3.139,3.13,3.133,25538.9,0.12058,0.12059,0.12037,0.12039,37518.0
2025-03-05 23:15:00+00:00,0.2987,0.2993,0.2987,0.2992,12676.0,393.67,394.99,393.49,394.09,2455.899,2231.62,2234.35,2231.2,2233.47,2373.558,21.106,21.127,21.101,21.122,1223.0,0.2333,0.2337,0.2333,0.2337,173904.0,0.457,0.457,0.456,0.456,270.3,0.003113,0.003117,0.003112,0.003115,5620658.0,6.2251,6.2405,6.2219,6.2354,31637.9,0.1856,0.18577,0.18557,0.18571,51060.0,0.555,0.556,0.555,0.556,40710.6,0.002166,0.002171,0.002166,0.002171,2299838.0,6.291,6.299,6.291,6.298,656.6,2.986,2.993,2.986,2.99,57276.0,0.10988,0.11004,0.10986,0.11001,153261.0,7.485,7.493,7.484,7.486,7471.0,4.326,4.329,4.325,4.328,7494.17,0.11073,0.11096,0.11073,0.11091,83420.6,20.626,20.645,20.624,20.641,2474.33,16.382,16.405,16.377,16.392,13273.97,0.31186,0.31219,0.31178,0.31206,161025.0,0.5731,0.5741,0.572,0.5741,372000.0,12.116,12.129,12.094,12.098,5770.3,0.1619,0.1621,0.1619,0.1621,101930.6,0.9893,0.9899,0.9878,0.9888,82534.8,0.04877,0.04883,0.04877,0.04883,170783.0,2.2538,2.2562,2.2529,2.2552,2553.1,0.4171,0.4177,0.4166,0.4176,1029686.0,6.307,6.318,6.307,6.318,11788.0,0.01305,0.01306,0.01304,0.01306,458787.0,3.734,3.742,3.734,3.739,4575.1,0.3132,0.3138,0.3131,0.3136,42483.2,0.1603,0.1606,0.1603,0.1605,21769.0,1.0879,1.0896,1.0877,1.0892,9675.1,51.31,51.38,51.31,51.35,164.868,5509.0,5516.0,5508.0,5513.0,1.017,0.25567,0.25603,0.25567,0.25598,44299.0,0.08647,0.08664,0.08647,0.08659,139439.0,0.6125,0.6134,0.612,0.6131,245864.0,4.505,4.511,4.505,4.508,39153.7,3.23,3.236,3.23,3.235,1137.5,9.157,9.181,9.157,9.179,2775.02,18.449,18.505,18.449,18.498,218.5,219.18,219.38,218.88,219.36,1887.0,0.382,0.382,0.381,0.381,19611.5,3.132,3.135,3.131,3.134,33658.6,0.12041,0.12061,0.1204,0.12057,61001.0
2025-03-05 23:18:00+00:00,0.2991,0.2993,0.2983,0.2985,27134.0,394.09,394.13,392.8,393.05,1368.777,2233.5,2234.0,2229.14,2230.42,4032.161,21.122,21.122,21.054,21.081,7185.3,0.2336,0.2336,0.233,0.2332,270458.0,0.457,0.457,0.455,0.455,43871.4,0.003114,0.003114,0.0031,0.003102,11619679.0,6.2354,6.2366,6.2232,6.2285,45754.1,0.1857,0.1857,0.18505,0.18517,65499.0,0.555,0.555,0.553,0.554,230071.6,0.002172,0.002172,0.002164,0.002165,2473678.0,6.297,6.297,6.274,6.281,1168.3,2.99,2.99,2.978,2.979,78795.0,0.11001,0.11001,0.10972,0.10979,344139.0,7.486,7.486,7.471,7.475,20156.0,4.327,4.327,4.316,4.319,14320.78,0.11091,0.11091,0.11052,0.11063,157220.6,20.645,20.647,20.563,20.577,3527.14,16.392,16.393,16.347,16.37,17932.03,0.31203,0.31203,0.31122,0.31156,317339.0,0.5741,0.5742,0.5722,0.5727,61793.0,12.097,12.098,12.046,12.058,13329.6,0.1621,0.1621,0.1616,0.1616,51905.9,0.9888,0.9891,0.987,0.9882,102570.6,0.04883,0.04883,0.04872,0.0488,518296.0,2.255,2.2552,2.2472,2.2496,7011.9,0.4176,0.4176,0.4162,0.417,557857.1,6.317,6.318,6.3,6.304,6517.0,0.01305,0.01305,0.01302,0.01303,312520.0,3.739,3.739,3.731,3.735,5797.2,0.3136,0.3137,0.3127,0.3131,34977.0,0.1605,0.1605,0.16,0.1601,61490.6,1.0891,1.0891,1.0839,1.0852,136357.1,51.35,51.35,51.21,51.24,215.039,5513.0,5513.0,5497.0,5501.0,1.2,0.25598,0.25598,0.25504,0.25515,110630.0,0.08661,0.08661,0.0863,0.08637,119843.0,0.6131,0.6131,0.6107,0.6115,135723.0,4.507,4.508,4.495,4.5,121226.2,3.236,3.236,3.228,3.228,1070.3,9.178,9.178,9.15,9.16,2636.18,18.494,18.494,18.428,18.445,189.7,219.37,219.49,218.55,218.98,2350.0,0.381,0.381,0.38,0.38,26181.8,3.133,3.134,3.124,3.127,25230.8,0.12056,0.12056,0.12023,0.12037,61782.0
2025-03-05 23:21:00+00:00,0.2985,0.2987,0.2983,0.2986,19264.0,393.06,394.42,393.01,394.03,999.859,2230.4,2233.85,2229.67,2232.9,1363.399,21.081,21.105,21.068,21.1,1197.0,0.2332,0.2336,0.2331,0.2333,77955.0,0.456,0.457,0.456,0.457,9593.1,0.003102,0.003104,0.003099,0.003103,3693729.0,6.2285,6.2374,6.2181,6.2198,26777.5,0.18515,0.1854,0.18501,0.18532,48399.0,0.554,0.555,0.553,0.555,193949.0,0.002165,0.002168,0.002165,0.002167,1903926.0,6.28,6.286,6.272,6.284,2446.3,2.98,2.985,2.978,2.982,68824.0,0.10979,0.10985,0.10968,0.10985,176941.0,7.475,7.487,7.471,7.485,5612.0,4.32,4.327,4.319,4.325,9524.42,0.11062,0.11069,0.11055,0.11064,46258.0,20.576,20.603,20.575,20.593,1782.04,16.37,16.399,16.356,16.399,10813.94,0.31155,0.31164,0.3113,0.31148,149506.0,0.5726,0.5738,0.5726,0.5736,71336.0,12.059,12.075,12.047,12.066,4965.3,0.1617,0.1618,0.1615,0.1618,42554.6,0.9881,0.9892,0.9876,0.9879,50359.9,0.0488,0.04884,0.04879,0.04882,176047.0,2.2497,2.2533,2.2485,2.2512,5166.9,0.417,0.4175,0.4167,0.4172,188472.6,6.305,6.354,6.299,6.35,46849.0,0.01302,0.01303,0.01302,0.01303,231668.0,3.736,3.736,3.732,3.732,7787.8,0.3131,0.3133,0.313,0.3131,40385.6,0.1601,0.1603,0.1601,0.1603,26985.6,1.0852,1.0873,1.0851,1.0868,29264.5,51.23,51.3,51.2,51.29,136.095,5499.0,5507.0,5497.0,5506.0,0.765,0.25514,0.25542,0.25506,0.25535,52513.0,0.08637,0.08647,0.08629,0.08629,229983.0,0.6114,0.6123,0.611,0.6115,161714.0,4.501,4.509,4.499,4.507,17215.3,3.228,3.231,3.228,3.231,504.7,9.157,9.171,9.155,9.168,638.14,18.439,18.465,18.435,18.46,137.5,218.98,219.46,218.8,219.43,1712.2,0.381,0.381,0.38,0.38,73643.0,3.127,3.129,3.125,3.129,14044.7,0.12035,0.12051,0.12029,0.12042,54563.0
2025-03-05 23:24:00+00:00,0.2985,0.299,0.2985,0.2989,17776.0,394.02,394.59,393.54,394.36,1044.814,2232.9,2237.08,2232.71,2236.91,1747.786,21.1,21.167,21.095,21.164,6596.8,0.2332,0.2338,0.2331,0.2338,227294.0,0.456,0.458,0.456,0.458,10267.1,0.003103,0.003106,0.003101,0.003105,11357460.0,6.2197,6.2308,6.2071,6.2099,42190.5,0.18532,0.18593,0.18532,0.18593,54604.0,0.555,0.555,0.554,0.555,179194.0,0.002167,0.002175,0.002167,0.002174,4493304.0,6.283,6.302,6.283,6.302,1081.4,2.982,2.991,2.982,2.99,47842.0,0.10984,0.11011,0.10984,0.1101,113075.0,7.484,7.507,7.479,7.504,16790.0,4.324,4.328,4.323,4.328,8357.13,0.11066,0.11091,0.11066,0.11088,50704.9,20.592,20.599,20.567,20.572,5515.81,16.398,16.447,16.391,16.444,23112.74,0.3115,0.31218,0.31147,0.31218,148313.0,0.5735,0.5749,0.5733,0.5746,70717.0,12.066,12.092,12.062,12.08,8774.0,0.1618,0.1622,0.1618,0.1621,21055.2,0.9879,0.9894,0.9877,0.9894,58383.2,0.04881,0.04891,0.04881,0.04889,248767.0,2.2512,2.2558,2.2493,2.2558,5735.0,0.4171,0.4183,0.4171,0.4183,268418.9,6.349,6.374,6.329,6.374,39452.0,0.01302,0.01304,0.01302,0.01304,465903.0,3.731,3.74,3.73,3.74,4071.4,0.3131,0.3135,0.3131,0.3134,12442.4,0.1603,0.1605,0.1602,0.1605,14021.4,1.0868,1.0896,1.0868,1.0893,16771.8,51.29,51.36,51.29,51.34,164.78,5505.0,5509.0,5503.0,5507.0,1.342,0.25536,0.25575,0.25536,0.25573,67402.0,0.08632,0.08641,0.0861,0.08629,683344.0,0.6114,0.6129,0.6113,0.6125,83265.0,4.507,4.512,4.504,4.509,21347.2,3.231,3.235,3.23,3.235,1146.7,9.167,9.178,9.167,9.177,1258.35,18.458,18.479,18.454,18.475,196.6,219.44,220.59,219.29,220.28,7610.1,0.38,0.382,0.38,0.38,135175.7,3.128,3.133,3.127,3.133,25650.2,0.12041,0.12069,0.12041,0.12066,74792.0
2025-03-05 23:27:00+00:00,0.2989,0.2989,0.2986,0.2988,5638.0,394.38,394.58,393.3,393.59,1217.981,2236.9,2237.02,2235.09,2235.9,1263.687,21.163,21.166,21.137,21.155,1847.3,0.2338,0.2338,0.2335,0.2337,98075.0,0.457,0.458,0.456,0.457,41324.7,0.003106,0.003106,0.0031,0.003101,5838643.0,6.2101,6.2132,6.1957,6.2031,48098.8,0.18593,0.186,0.1857,0.18592,31620.0,0.555,0.555,0.554,0.555,30058.6,0.002175,0.002175,0.002172,0.002174,3451262.0,6.303,6.304,6.298,6.303,543.5,2.99,2.998,2.989,2.995,59920.0,0.11011,0.11013,0.10999,0.11009,98764.0,7.503,7.503,7.488,7.492,12715.0,4.329,4.329,4.324,4.326,5577.6,0.11087,0.11088,0.11075,0.11086,28257.7,20.573,20.577,20.545,20.57,7653.21,16.445,16.448,16.429,16.435,21203.22,0.31218,0.31223,0.31175,0.31199,89416.0,0.5746,0.5749,0.5736,0.5738,56111.0,12.081,12.082,12.049,12.066,3832.8,0.1621,0.1622,0.162,0.1622,14346.7,0.9894,0.9897,0.9881,0.9892,53540.1,0.04889,0.0489,0.04884,0.04888,118448.0,2.2558,2.2574,2.2525,2.2574,3901.9,0.4183,0.4183,0.4174,0.418,179829.7,6.373,6.373,6.357,6.358,10485.0,0.01304,0.01305,0.01304,0.01304,664338.0,3.741,3.741,3.735,3.74,3843.5,0.3134,0.3134,0.3127,0.313,57318.0,0.1605,0.1605,0.1604,0.1604,12355.3,1.0893,1.0894,1.0867,1.0874,34864.5,51.33,51.36,51.3,51.34,178.243,5509.0,5509.0,5504.0,5507.0,0.517,0.25573,0.25574,0.25543,0.25562,51950.0,0.08629,0.08635,0.08622,0.08635,93819.0,0.6125,0.6126,0.6108,0.6116,188475.0,4.509,4.512,4.506,4.509,14976.8,3.235,3.235,3.232,3.234,453.2,9.177,9.177,9.162,9.168,634.8,18.473,18.474,18.446,18.455,135.7,220.27,220.81,219.56,220.7,7463.8,0.38,0.381,0.38,0.38,37667.5,3.132,3.133,3.129,3.132,12733.1,0.12067,0.1207,0.12053,0.12066,26470.0
2025-03-05 23:30:00+00:00,0.299,0.2993,0.2988,0.2992,13159.0,393.63,393.98,392.76,393.98,2570.036,2235.91,2239.0,2235.63,2238.41,1699.161,21.157,21.198,21.156,21.178,1788.7,0.2337,0.234,0.2335,0.2339,284009.0,0.457,0.458,0.457,0.458,1298.2,0.003101,0.003104,0.003099,0.003101,7299615.0,6.2031,6.214,6.1987,6.2015,48670.6,0.18591,0.18644,0.1859,0.18626,87890.0,0.554,0.556,0.554,0.555,235414.8,0.002175,0.002175,0.002171,0.002173,8901288.0,6.304,6.316,6.303,6.314,778.9,2.996,3.001,2.991,2.991,70279.0,0.11008,0.11016,0.10994,0.10996,152957.0,7.493,7.511,7.493,7.507,6090.0,4.326,4.33,4.326,4.329,7780.4,0.11087,0.11115,0.11083,0.11106,291269.7,20.571,20.578,20.559,20.569,3136.97,16.434,16.494,16.429,16.483,63497.96,0.31201,0.31252,0.31197,0.3125,189306.0,0.5738,0.5751,0.5732,0.5746,133803.0,12.067,12.081,12.057,12.067,3740.4,0.1622,0.1626,0.1622,0.1626,58370.8,0.9892,0.9906,0.9887,0.9888,82630.3,0.04888,0.04893,0.04888,0.04892,365671.0,2.2575,2.2587,2.2553,2.257,7370.0,0.418,0.4183,0.4171,0.4171,310908.3,6.358,6.362,6.347,6.357,50107.0,0.01305,0.01305,0.01304,0.01305,659769.0,3.739,3.739,3.731,3.732,13232.4,0.3131,0.3136,0.313,0.3135,28076.4,0.1605,0.1607,0.1605,0.1606,56238.1,1.0875,1.0904,1.0872,1.0896,31441.1,51.35,51.45,51.34,51.45,217.669,5507.0,5513.0,5503.0,5510.0,1.107,0.25561,0.25571,0.2554,0.25552,129758.0,0.08635,0.0865,0.08633,0.08644,99418.0,0.6117,0.6127,0.6111,0.6119,258034.0,4.51,4.512,4.506,4.509,16273.5,3.234,3.239,3.233,3.237,1335.6,9.167,9.173,9.163,9.167,1810.34,18.457,18.483,18.457,18.465,347.3,220.7,221.24,220.4,221.24,4781.1,0.381,0.381,0.38,0.38,9899.1,3.132,3.137,3.132,3.136,28431.8,0.12068,0.12079,0.12068,0.12074,89909.0
