exit_time,symbol,entry_time,entry_price,exit_price,side,realized_pnl_pcg,entry_price_exec,exit_price_exec
2025-03-06 16:01:25.742300,MEWUSDT,2025-03-06 16:00:00.000000,0.0022,0.0022,-1,0.0,,
2025-03-06 16:01:25.742300,UNIUSDT,2025-03-06 16:00:00.000000,7.333,7.333,1,0.0,,
2025-03-06 16:01:25.742300,APTUSDT,2025-03-06 16:00:00.000000,6.1402,6.1402,-1,0.0,,
2025-03-06 16:01:25.742300,ONTUSDT,2025-03-06 16:00:00.000000,0.1602,0.1602,1,0.0,,
2025-03-06 22:37:34.927400,FILUSDT,2025-03-06 16:11:27.030700,3.139,3.102,1,-0.012090359529112254,3.139,3.102
2025-03-06 23:07:27.398400,CHZUSDT,2025-03-06 15:51:29.415900,0.05028,0.04807,-1,0.04281162883313419,0.05028,
2025-03-07 00:13:35.268800,ATOMUSDT,2025-03-06 15:55:26.193700,4.385,4.292,-1,0.02896237172177874,,4.292
2025-03-07 00:27:34.087000,BLURUSDT,2025-03-06 16:15:26.988300,0.12021,0.11362,1,-0.054157322036714,0.12021,0.11362
2025-03-07 01:59:36.285700,INJUSDT,2025-03-06 16:07:30.428400,12.116,11.884,1,-0.023185069472991864,12.116,11.884
2025-03-07 02:01:42.363300,OPUSDT,2025-03-06 22:37:34.927400,0.965,0.9669,1,0.0039390484088317875,0.965,0.9669
2025-03-07 02:51:37.531200,ETHUSDT,2025-03-06 16:19:34.005900,2256.1,2167.77,-1,0.03988139888944615,2256.1,2167.77
2025-03-07 03:03:38.899400,DOTUSDT,2025-03-06 16:00:00.000000,4.501,4.425,1,-0.017773828038213743,,4.425
2025-03-07 04:01:42.630600,MEMEUSDT,2025-03-06 15:55:26.193700,0.003041,0.00301,1,-0.012167050312397142,,0.00301
2025-03-07 06:07:44.128000,KSMUSDT,2025-03-06 16:13:34.218800,18.569,17.802,-1,0.04179008024126231,,17.802
2025-03-07 07:07:41.053500,CELOUSDT,2025-03-06 16:19:34.005900,0.382,0.375,1,-0.013123359580052505,0.382,0.375
2025-03-07 09:21:41.124000,SEIUSDT,2025-03-07 01:59:36.285700,0.2192,0.2292,1,0.04655408489274311,0.2192,0.2292
2025-03-07 12:10:34.869100,ONTUSDT,2025-03-06 16:03:28.434800,0.16,0.1602,1,0.0012500000000000358,,0.1602
2025-03-07 13:30:00.000000,1INCHUSDT,2025-03-06 15:59:32.921200,,,-1,,,
2025-03-07 14:26:36.097500,PYTHUSDT,2025-03-06 23:07:27.398400,0.18278,0.17677,-1,0.032881059196848604,,
2025-03-07 22:34:10.901800,DOTUSDT,2025-03-07 14:26:36.097500,4.565,4.43,-1,0.025848849945235557,,4.43
2025-03-07 23:20:11.421300,NEOUSDT,2025-03-06 16:17:30.955500,9.199,8.838,-1,0.03966098011517986,9.199,
2025-03-08 00:08:16.882400,UNIUSDT,2025-03-06 16:07:30.428400,7.321,7.086,1,-0.03315595579205887,7.321,
2025-03-08 00:44:13.363900,EOSUSDT,2025-03-07 00:27:34.087000,0.519,0.545,1,0.04606525911708257,0.519,0.545
2025-03-08 01:44:14.592200,SANDUSDT,2025-03-06 16:00:00.000000,0.32094,0.30194,-1,0.05916993830622548,,0.30194
2025-03-08 08:58:10.664000,FETUSDT,2025-03-07 07:07:41.053500,0.6075,0.6081,1,-0.003616042077580688,0.6075,0.6081
2025-03-08 10:30:00.000000,LPTUSDT,2025-03-07 04:01:42.630600,5.967,5.944,1,-0.003186315612946525,5.967,
2025-03-08 10:36:21.133500,AAVEUSDT,2025-03-08 10:30:00.000000,186.84,188.23,1,0.007439520445300719,,
2025-03-08 10:46:19.824100,LPTUSDT,2025-03-08 10:36:21.133500,5.935,5.964,1,0.004886267902274777,,
2025-03-08 12:32:16.842400,POLUSDT,2025-03-06 15:53:33.630400,0.25381,0.24023,1,-0.05372828613069676,0.25381,
2025-03-08 13:00:00.000000,LINKUSDT,2025-03-06 15:53:33.630400,17.29,15.412,-1,0.10887539751373233,17.29,
2025-03-08 13:06:16.450100,LPTUSDT,2025-03-08 13:00:00.000000,5.971,5.964,-1,0.001172332942555631,,
2025-03-08 13:16:15.269100,LINKUSDT,2025-03-08 13:06:16.450100,15.436,15.431,-1,0.0003239181135009576,,
2025-03-08 13:56:15.025200,1INCHUSDT,2025-03-08 00:08:16.882400,,,1,,,
2025-03-08 14:00:00.000000,ENSUSDT,2025-03-06 16:13:34.218800,21.219,20.633,1,-0.027616758565436734,,
2025-03-08 14:06:20.691800,MEMEUSDT,2025-03-08 14:00:00.000000,0.002822,0.002828,1,0.0021261516654854464,,
2025-03-08 14:12:18.298500,ENSUSDT,2025-03-08 14:06:20.691800,20.823,20.604,1,-0.010517216539403601,,
2025-03-08 14:12:18.298500,APEUSDT,2025-03-06 15:57:30.045500,0.5843,0.5421,-1,0.07507251322299938,0.5843,
2025-03-08 14:22:14.643800,YFIUSDT,2025-03-07 06:07:44.128000,5458.0,5326.0,-1,0.025678650036683785,5458.0,5326.0
2025-03-09 00:38:12.846800,COMPUSDT,2025-03-07 23:20:11.421300,50.2,48.89,-1,0.02569721115537861,,48.89
2025-03-09 02:32:20.374000,BATUSDT,2025-03-06 16:15:26.988300,0.1627,0.1549,-1,0.05027590435315748,0.1627,
2025-03-09 05:22:22.193200,WUSDT,2025-03-06 16:17:30.955500,0.10954,0.10026,1,-0.08505201679138524,0.10954,
2025-03-09 09:12:16.875500,MINAUSDT,2025-03-07 09:21:41.124000,0.2935,0.2799,1,-0.04568700988748729,0.2935,
2025-03-09 09:48:19.228300,RENDERUSDT,2025-03-06 15:49:25.980200,4.057,3.387,-1,0.16563963519842262,,3.387
2025-03-09 12:26:19.024600,SEIUSDT,2025-03-08 08:58:10.664000,0.2122,0.2107,1,-0.002839564600094602,0.2122,
2025-03-09 13:02:24.363500,ARBUSDT,2025-03-07 00:13:35.268800,0.4069,0.3758,-1,0.06759098786828421,0.4069,0.3758
2025-03-09 13:20:21.271700,CHZUSDT,2025-03-09 02:32:20.374000,0.04752,0.04547,-1,0.04313973063973071,,
2025-03-09 13:44:24.685000,CELOUSDT,2025-03-09 00:38:12.846800,0.377,0.357,-1,0.0555555555555556,0.377,0.357
2025-03-09 13:54:16.453400,EOSUSDT,2025-03-08 14:22:14.643800,0.539,0.514,-1,0.04990757855822555,0.539,
2025-03-09 17:58:22.400100,OPUSDT,2025-03-08 12:32:16.842400,0.9279,0.8492,1,-0.0833063907748679,,0.8492
2025-03-09 19:32:26.152800,KSMUSDT,2025-03-07 12:10:34.869100,18.312,16.598,1,-0.09419340755293618,18.312,
2025-03-09 22:04:20.084500,BLURUSDT,2025-03-07 02:51:37.531200,0.11907,0.10081,-1,0.14206128133704746,0.11907,0.10081
2025-03-09 23:00:00.000000,FETUSDT,2025-03-09 09:12:16.875500,0.5548,,1,,,
2025-03-09 23:06:22.463000,ENSUSDT,2025-03-09 23:00:00.000000,,,1,,,
2025-03-09 23:16:16.311100,FETUSDT,2025-03-09 23:06:22.463000,,,1,,,
2025-03-10 04:14:22.978000,AAVEUSDT,2025-03-08 10:46:19.824100,190.41,,1,,,
2025-03-10 07:46:28.359700,NEARUSDT,2025-03-06 16:07:30.428400,3.222,2.572,-1,,3.222,2.572
2025-03-10 08:56:27.421400,SEIUSDT,2025-03-09 13:02:24.363500,0.2192,0.1909,-1,,0.2192,0.1909
