,symbol,timestamp,action,old_position,new_position
0,ETCUSDT,2025-03-06 02:14:23.921000,open,0,-1
1,LTCUSDT,2025-03-06 02:14:23.921000,open,0,1
2,THETAUSDT,2025-03-06 02:14:23.921000,open,0,1
3,LINKUSDT,2025-03-06 02:14:23.921000,open,0,-1
4,MANAUSDT,2025-03-06 02:14:23.921000,open,0,-1
5,MEWUSDT,2025-03-06 02:14:23.921000,open,0,-1
6,MEMEUSDT,2025-03-06 02:14:23.921000,open,0,1
7,TONUSDT,2025-03-06 02:14:23.921000,open,0,1
8,TONUSDT,2025-03-06 15:49:25.980200,close,1,0
9,MEMEUSDT,2025-03-06 15:49:25.980200,close,1,0
10,RENDERUSDT,2025-03-06 15:49:25.980200,open,0,-1
11,MEWUSDT,2025-03-06 15:49:25.980200,close,-1,0
12,MANAUSDT,2025-03-06 15:49:25.980200,close,-1,0
13,THETAUSDT,2025-03-06 15:49:25.980200,close,1,0
14,FLOWUSDT,2025-03-06 15:49:25.980200,open,0,1
15,LTCUSDT,2025-03-06 15:49:25.980200,close,1,0
16,ETCUSDT,2025-03-06 15:49:25.980200,close,-1,0
17,LINKUSDT,2025-03-06 15:49:25.980200,close,-1,0
18,CHZUSDT,2025-03-06 15:51:29.415900,open,0,-1
19,MANTAUSDT,2025-03-06 15:51:29.415900,open,0,1
20,POLUSDT,2025-03-06 15:53:33.630400,open,0,1
21,LINKUSDT,2025-03-06 15:53:33.630400,open,0,-1
22,MEMEUSDT,2025-03-06 15:55:26.193700,open,0,1
23,ATOMUSDT,2025-03-06 15:55:26.193700,open,0,-1
24,APEUSDT,2025-03-06 15:57:30.045500,open,0,-1
25,ZROUSDT,2025-03-06 15:57:30.045500,open,0,1
26,1INCHUSDT,2025-03-06 15:59:32.921200,open,0,-1
27,EGLDUSDT,2025-03-06 15:59:32.921200,open,0,1
28,SANDUSDT,2025-03-06 16:00:00.000000,open,0,-1
29,DOTUSDT,2025-03-06 16:00:00.000000,open,0,1
30,APTUSDT,2025-03-06 16:00:00.000000,open,0,-1
31,MEWUSDT,2025-03-06 16:00:00.000000,open,0,-1
32,ONTUSDT,2025-03-06 16:00:00.000000,open,0,1
33,UNIUSDT,2025-03-06 16:00:00.000000,open,0,1
34,MEWUSDT,2025-03-06 16:01:25.742300,close,-1,0
35,UNIUSDT,2025-03-06 16:01:25.742300,close,1,0
36,APTUSDT,2025-03-06 16:01:25.742300,close,-1,0
37,ONTUSDT,2025-03-06 16:01:25.742300,close,1,0
38,ONTUSDT,2025-03-06 16:03:28.434800,open,0,1
39,MEWUSDT,2025-03-06 16:03:28.434800,open,0,-1
40,NEARUSDT,2025-03-06 16:07:30.428400,open,0,-1
41,APTUSDT,2025-03-06 16:07:30.428400,open,0,-1
42,INJUSDT,2025-03-06 16:07:30.428400,open,0,1
43,UNIUSDT,2025-03-06 16:07:30.428400,open,0,1
