2023/12/09 23:07:18.348:INFO:session_signal:strat basket1, sym: LPT-USDT-SWAP__EGLD-USDT-SWAP, action: 1, quantities:[1374.6005438298866, 160.901755250777], @(6.809, 58.17) - nn, entry
2023/12/10 00:25:05.200:INFO:session_signal:strat pairs2_edo, sym: ARB-USDT-SWAP__ETC-USDT-SWAP, action: 1, quantities:[8289.703315881326, 429.08762420957544], @(1.146, 22.14) - nn, entry
2023/12/10 00:25:05.929:INFO:session_signal:strat pairs2_edo, sym: EGLD-USDT-SWAP__NEO-USDT-SWAP, action: -1, quantities:[158.94261335117952, 739.933016590077], @(59.77, 12.839) - nn, entry
2023/12/10 01:23:05.214:INFO:session_signal:strat pairs2_edo, sym: AR-USDT-SWAP__CHZ-USDT-SWAP, action: 1, quantities:[1144.3025776921224, 102658.30992003459], @(8.302, 0.09254) - nn, entry
2023/12/10 01:27:05.179:INFO:session_signal:strat pairs2_edo, sym: CRV-USDT-SWAP__OP-USDT-SWAP, action: 1, quantities:[13884.82899736919, 4474.799811587376], @(0.6842, 2.123) - nn, entry
2023/12/10 02:05:05.585:INFO:session_signal:strat pairs1, sym: EGLD-USDT-SWAP__NEO-USDT-SWAP, action: -1, quantities:[87.88791506279081, 444.7244770014339], @(67.32, 13.304) - nn, entry
2023/12/10 02:29:05.330:INFO:session_signal:strat pairs2_edo, sym: ETH-USDT-SWAP__LTC-USDT-SWAP, action: 1, quantities:[4.050291834185315, 122.80248190279214], @(2345.51, 77.36) - nn, entry
2023/12/10 02:55:04.918:INFO:session_signal:strat pairs2_edo, sym: ENS-USDT-SWAP__LPT-USDT-SWAP, action: -1, quantities:[954.7738693467337, 1392.145369284877], @(9.95, 6.824) - nn, entry
2023/12/10 03:29:05.409:INFO:session_signal:strat pairs1, sym: GMT-USDT-SWAP__SNX-USDT-SWAP, action: 1, quantities:[19341.76436698926, 1418.5201585799634], @(0.3048, 4.156) - nn, entry
2023/12/10 04:55:05.771:INFO:session_signal:strat pairs2_edo, sym: BAND-USDT-SWAP__MASK-USDT-SWAP, action: 1, quantities:[5637.982195845697, 2468.173551571837], @(1.685, 3.849) - nn, entry
2023/12/10 04:55:06.535:INFO:session_signal:strat pairs2_edo, sym: AVAX-USDT-SWAP__NEAR-USDT-SWAP, action: -1, quantities:[280.14508566541826, 3790.901835594573], @(33.911, 2.506) - nn, entry
2023/12/10 06:31:05.919:INFO:session_signal:strat pairs1, sym: DOGE-USDT-SWAP__SHIB-USDT-SWAP, action: 1, quantities:[59509.52095053236, 576489511.5530196], @(0.10039, 1.0363e-05) - nn, entry
2023/12/10 06:55:05.641:INFO:session_signal:strat pairs2_edo, sym: GRT-USDT-SWAP__MAGIC-USDT-SWAP, action: -1, quantities:[53611.7381489842, 10807.73606370876], @(0.1772, 0.879) - nn, entry
2023/12/10 08:03:05.686:INFO:session_signal:strat pairs2_edo, sym: SAND-USDT-SWAP__WAVES-USDT-SWAP, action: -1, quantities:[16197.78346121057, 3829.101168883515], @(0.5865, 2.481) - nn, entry
2023/12/10 08:37:20.314:INFO:session_signal:strat basket1, sym: AR-USDT-SWAP__SAND-USDT-SWAP, action: 1, quantities:[1033.1186130631877, 14496.441032066146], @(8.137, 0.5799) - nn, entry
2023/12/10 10:01:05.895:INFO:session_signal:strat pairs1, sym: BNB-USDT-SWAP__BTC-USDT-SWAP, action: 1, quantities:[26.42, 0.13], @(237.0, 43639.9) - xx, exitsignal
2023/12/10 10:25:06.67:INFO:session_signal:strat pairs2_edo, sym: GRT-USDT-SWAP__MAGIC-USDT-SWAP, action: 1, quantities:[53611.7381489842, 10807.73606370876], @(0.1683, 0.866) - xx, exitsignal
2023/12/10 10:57:06.48:INFO:session_signal:strat pairs2_edo, sym: BCH-USDT-SWAP__BNB-USDT-SWAP, action: 1, quantities:[38.306451612903224, 39.7489539748954], @(248.0, 239.0) - nn, entry
2023/12/10 14:01:06.363:INFO:session_signal:strat pairs2_edo, sym: AR-USDT-SWAP__CHZ-USDT-SWAP, action: -1, quantities:[1144.3025776921224, 102658.30992003459], @(8.099, 0.08912) - xx, exitsignal
2023/12/10 14:01:07.139:INFO:session_signal:strat pairs1, sym: GALA-USDT-SWAP__MAGIC-USDT-SWAP, action: 1, quantities:[126760.0, 4337.0], @(0.03229, 0.8797) - xx, exitsignal
2023/12/10 14:29:06.228:INFO:session_signal:strat pairs1, sym: BCH-USDT-SWAP__BSV-USDT-SWAP, action: 1, quantities:[23.516354784921806, 109.6902321712094], @(249.5, 53.49) - nn, entry
2023/12/10 14:31:06.199:INFO:session_signal:strat pairs2_edo, sym: GRT-USDT-SWAP__MAGIC-USDT-SWAP, action: 1, quantities:[56581.298391899945, 10824.977210574292], @(0.1679, 0.8776) - nn, entry
2023/12/10 14:55:06.278:INFO:session_signal:strat pairs2_edo, sym: SAND-USDT-SWAP__WAVES-USDT-SWAP, action: 1, quantities:[16197.78346121057, 3829.101168883515], @(0.5562, 2.445) - xx, exitsignal
2023/12/10 15:25:06.423:INFO:session_signal:strat pairs2_edo, sym: 1INCH-USDT-SWAP__MANA-USDT-SWAP, action: -1, quantities:[23714.428357463803, 17720.574519679165], @(0.4006, 0.5361) - nn, entry
2023/12/10 15:25:07.370:INFO:session_signal:strat pairs2_edo, sym: ENS-USDT-SWAP__LPT-USDT-SWAP, action: 1, quantities:[954.7738693467337, 1392.145369284877], @(9.723, 6.841) - xx, exitsignal
2023/12/10 15:55:06.43:INFO:session_signal:strat pairs2_edo, sym: DOGE-USDT-SWAP__SHIB-USDT-SWAP, action: -1, quantities:[94339.62264150944, 928278288.0594097], @(0.1007, 1.0234e-05) - nn, entry
2023/12/10 16:07:20.366:INFO:session_signal:strat basket1, sym: COMP-USDT-SWAP__LINK-USDT-SWAP, action: -1, quantities:[178.0, 527.6534680262864], @(55.6, 16.194) - xn, reshuffle signal
