symbol,timestamp,action,old_size,new_size,price,old_value,new_value
BAT-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-8110.0,0.1628,0.0,-1320.308
EGLD-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-64.60000000000001,21.41,0.0,-1383.0860000000002
ATOM-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-291.0,4.484,0.0,-1304.844
XRP-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-1.0,2.1618,0.0,-2.1618
OP-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-3.0,1.0413,0.0,-3.1239
GMX-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,76.80000000000001,17.13,0.0,1315.584
FLOKI-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,17300000.0,7.955e-05,0.0,1376.215
DOT-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,292.0,4.582,0.0,1337.944
ZETA-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-4350.0,0.2915,0.0,-1268.0249999999999
ADA-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,10.0,0.6348,0.0,6.348000000000001
MINA-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-6.0,0.3119,0.0,-1.8714
ID-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,20.0,0.2648,0.0,5.295999999999999
ARB-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,5.0,0.409,0.0,2.045
MEW-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-539000.0,0.002381,0.0,-1283.359
ORDI-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-115.9,11.582,0.0,-1342.3538
ETC-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-72.30000000000001,19.13,0.0,-1383.0990000000002
GAS-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,410.0,3.324,0.0,1362.84
1INCH-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,5675.0,0.2386,0.0,1354.055
IMX-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-1824.0,0.696,0.0,-1269.504
LUNC-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-20140000.0,6.644e-05,0.0,-1338.1016
YFI-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-0.0001,5444.0,0.0,-0.5444
BICO-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,8499.0,0.1527,0.0,1297.7973
MKR-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-0.005,1582.6,0.0,-7.912999999999999
PYTH-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,6610.0,0.2002,0.0,1323.322
ETH-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,0.622,2183.0,0.0,1357.826
FIL-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-407.0,3.185,0.0,-1296.295
BNB-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-0.01,593.7,0.0,-5.937
STRK-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-6575.0,0.2057,0.0,-1352.4775
NEAR-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-440.0,3.09,0.0,-1359.6
UMA-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-903.6,1.462,0.0,-1321.0632
BLUR-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,30.0,0.1276,0.0,3.828
EOS-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,2490.0,0.5501,0.0,1369.749
LINK-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,95.0,14.474,0.0,1375.03
AXS-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,0.5,3.641,0.0,1.8205
GRT-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,11340.0,0.1171,0.0,1327.914
AAVE-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,7.25,186.97,0.0,1355.5325
UNI-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,183.0,7.33,0.0,1341.39
BCH-USDT-SWAP,2025-03-01 12:20:38.977600,open,0.0,-4.19,310.8,0.0,-1302.2520000000002
