symbol,entry_time,exit_time,side,theo_pnl,dollar_pnl
DOT,2025-04-01 09:03:41.641729,2025-04-01 11:02:03.882070,1,-0.0007542609501635933,-0.0007542609501635933
WOO,2025-04-01 09:03:41.641729,2025-04-01 12:20:41.651604,1,-0.0017034630211922239,-0.0017034630211922239
TON,2025-04-01 09:03:41.641729,2025-04-01 12:24:46.431984,-1,0.0009545252121126446,0.0009545252121126446
ARB,2025-04-01 09:03:41.641729,2025-04-01 12:26:51.087007,-1,0.0008115539310795603,0.0008115539310795603
LUNA,2025-04-01 09:03:41.641729,2025-04-01 12:26:51.087007,-1,0.0009840725689048146,0.0009840725689048146
BLUR,2025-04-01 09:03:41.641729,2025-04-01 13:00:00.000000,-1,0.0009094297416777225,0.0009094297416777225
DOT,2025-04-01 13:00:00.000000,2025-04-01 13:02:52.692416,-1,-0.00025370105062082204,-0.00025370105062082204
BLUR,2025-04-01 13:02:52.692416,2025-04-01 13:12:50.593020,-1,0.0,0.0
ATOM,2025-04-01 09:03:41.641729,2025-04-01 13:16:45.914670,-1,0.0011088995512288924,0.0011088995512288924
ETC,2025-04-01 09:03:41.641729,2025-04-01 13:48:54.459291,-1,0.00029116347103143314,0.00029116347103143314
